,Name,Movie_ID,Rating,Duration,Description,Release_Date,Total_Revenue
0,Mesh Ana,2060425,0,pre-production,,,
1,Bab Maazoul,2060069,0,30 minutes,,,
2,Ashbah Europa,2059298,0,Unreleased,"A wife gives birth to sextuplets, forcing the husband to sell three of their children due to poverty. When the wife finds out, she decides to leave her husband and travel abroad and many conflicts...Read more",,
3,Al-Baa’d La Yazhab L Al-Ma’zoun Maratayen,2058957,0,100 minutes,"A comedy that revolves around the experience of marriage, and if husbands can go back in time will they marry their wives again?",13 May,
4,Dido,2058234,0,96 minutes,"A comedy about Dido who plans with his friends to rob the rich scientist (Bayoumi Fouad), who discovers the matter and transforms them by one of his experiments into tom thumbs, which makes them...Read more",13 May,
5,Orfanelli's Hall,2068611,0,pre-production,,,
6,For Rent,2068366,0,85 minutes,"As Mukhtar lives in a rented apartment, he finds himself experiencing bizarre incidents that happen in the apartment every day, when he sees the figure of a girl named Ibtisam who looks like Laila,...Read more",,
7,في عز الضهر,2067595,0,pre-production,,,
8,The crime,2067574,0,pre-production,,,
9,mama hamil,2067020,0,pre-production,,,
10,السرب,2067013,0,Unreleased,,,
11,Waafet Reggala,2066560,8.9,120 minutes,"A comedy about a group of friends as they get reunited to help one of their own find his way out of major trouble. As the situation gets more complicated, they are forced to take a trip to a coastal...Read more",13 January,
12,ريتسا,2065450,0,in-production,,,
13,Thaneya Wahda,2065401,0,Unreleased,,,
14,تحت تهديد السلاح,2065225,0,pre-production,,,
15,أهل الكهف,2065010,0,pre-production,,,
16,Today Is A Beautiful Day,2065004,0,Unreleased,,,
17,Amar 14,2064895,0,Unreleased,The plot revolves around 5 different love stories.,,
18,30 مارس,2064843,0,Unreleased,,,
19,Before Forty,2064814,5.9,93 minutes,"As Moataz suffers from a strong trauma following the death of his mother, his aunt Sama thinks that he is a psychopath. But with repeated mysterious deaths in the family, it turns out that Moataz has...Read more",3 February,
20,Ahmed Noterdame,2061752,0,Unreleased,,,
21,El Ens w Al Nems,2061350,0,Unreleased,,,
22,SaherElnesaa,2060752,0,120 minutes,,,
23,Shaw-ming,2060630,6.8,90 minutes,,3 February,
24,يوم 13,2060584,0,Unreleased,"A suspense horror thriller, filmed in 3D.",,
25,Mesh Ana,2060425,0,pre-production,,,
26,Bab Maazoul,2060069,0,30 minutes,,,
27,Ashbah Europa,2059298,0,Unreleased,"A wife gives birth to sextuplets, forcing the husband to sell three of their children due to poverty. When the wife finds out, she decides to leave her husband and travel abroad and many conflicts...Read more",,
28,Al-Baa’d La Yazhab L Al-Ma’zoun Maratayen,2058957,0,100 minutes,"A comedy that revolves around the experience of marriage, and if husbands can go back in time will they marry their wives again?",13 May,
29,Dido,2058234,0,96 minutes,"A comedy about Dido who plans with his friends to rob the rich scientist (Bayoumi Fouad), who discovers the matter and transforms them by one of his experiments into tom thumbs, which makes them...Read more",13 May,
